Sector,TotalEEsMillion,RevPerEEMillion,MktCapTrillion,RevenueTrillion,CompanyCount
Retail, 6.7 , 0.25 , 1.8 , 1.70 ,75
Financials, 3.1 , 0.63 , 4.1 , 2.00 ,124
Technology, 3.1 , 0.42 , 5.6 , 1.30 ,102
Healthcare, 3.0 , 0.51 , 2.8 , 1.50 ,70
"Hotels & Restaurants", 2.3 , 0.08 , 0.5 , 0.20 ,26
Transportation, 1.7 , 0.28 , 0.6 , 0.50 ,40
Business Services, 1.6 , 0.20 , 1.2 , 0.30 ,53
Industrials, 1.6 , 0.33 , 0.9 , 0.50 ,49
"Food, Bev., & Tobacco", 1.1 , 0.44 , 1.1 , 0.50 ,34
Aerospace & Defense, 1.0 , 0.38 , 0.7 , 0.40 ,24
Energy, 1.0 , 1.57 , 2.2 , 1.50 ,105
